년월,관람객수
2008-01,12851835
2008-02,12845088
2008-03,9606955
2008-04,7330006
2008-05,12870573
2008-06,14227212
2008-07,17033494
2008-08,17369947
2008-09,10945140
2008-10,8744625
2008-11,9472588
2008-12,14131176
2009-01,16525594
2009-02,11156302
2009-03,7832797
2009-04,7848673
2009-05,16146532
2009-06,12963482
2009-07,16349119
2009-08,21418297
2009-09,8336580
2009-10,9357086
2009-11,10665552
2009-12,16798640
2012-01,16628650
2012-02,13065438
2012-03,11392750
2012-04,11993363
2012-05,15970116
2012-06,14211515
2012-07,20964476
2012-08,24238713
2012-09,14597393
2012-10,15288721
2012-11,15947251
2012-12,20592201
2013-01,20366773
2013-02,21824737
2013-03,13283201
2013-04,11259977
2013-05,14211968
2013-06,17555734
2013-07,18824441
2013-08,29142663
2013-09,19234287
2013-10,13490691
2013-11,13380122
2013-12,20776436
2014-01,23596599
2014-02,18558381
2014-03,12404922
2014-04,9206484
2014-05,16862099
2014-06,15889312
2014-07,19876822
2014-08,32219304
2014-09,17084849
2014-10,12502773
2014-11,15190407
2014-12,21677006
2015-01,22484091
2015-02,16666173
2015-03,11323107
2015-04,12721639
2015-05,17670740
2015-06,14201957
2015-07,23431726
2015-08,30902141
2015-09,18733043
2015-10,14926529
2015-11,15275978
2015-12,18962399
2016-01,16908582
2016-02,21312706
2016-03,11266732
2016-04,9995372
2016-05,18131197
2016-06,17020069
2016-07,26237872
2016-08,29940921
2016-09,16208794
2016-10,17159928
2016-11,12682819
2016-12,20161190
2017-01,23255258
2017-02,15181395
2017-03,13855445
2017-04,11214167
2017-05,18680206
2017-06,15103839
2017-07,21357163
2017-08,29885346
2017-09,12719893
2017-10,21585909
2017-11,13155930
2017-12,23881676
2018-01,22943456
2018-02,15551760
2018-03,12801511
2018-04,14066243
2018-05,15891715
2018-06,15099844
2018-07,19776669
2018-08,30258275
2018-09,16823946
2018-10,14075357
2018-11,17149948
2018-12,21946545
2019-01,18122443
2019-02,22277733
2019-03,14671693
2019-04,13338962
2019-05,18062457
2019-06,22845579
2019-07,21916465
2019-08,24786121
2019-09,14733642
2019-10,14858383
2019-11,18600679
2019-12,22464620
2020-01,16843695
2020-02,7372370
2020-03,1834722
2020-04,972572
2020-05,1526236
2020-06,3864533
2020-07,5618701
2020-08,8834699
2020-09,2988647
2020-10,4633609
2020-11,3595310
2020-12,1438873
2021-01,1786117
2021-02,3111920
2021-03,3256510
2021-04,2562285
2021-05,4379476
2021-06,4927990
2021-07,6976451
2021-08,7910082
2021-09,5412319
2021-10,5192139
2021-11,6512815
2021-12,8502983
