"구분별(1)",구분별(2),2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),게임 (%),소셜네트워킹(카카오스토리 페이스북 트위터 등) (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),방송/동영상(OTT 서비스 등) (%),포털애플리케이션(네이버 다음 네이트 등) (%),게임 (%),소셜네트워킹(카카오스토리 페이스북 트위터 등) (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),방송/동영상(OTT 서비스 등) (%),포털애플리케이션(네이버 다음 네이트 등) (%),게임 (%),소셜네트워킹(카카오스토리 페이스북 트위터 등) (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),방송/동영상(OTT 서비스 등) (%),포털애플리케이션(네이버 다음 네이트 등) (%),게임 (%),소셜네트워킹(카카오스토리 페이스북 트위터 등) (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),방송/동영상(OTT 서비스 등) (%),포털애플리케이션(네이버 다음 네이트 등) (%),게임 (%),소셜네트워킹(카카오스토리 페이스북 트위터 등) (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),방송/동영상(OTT 서비스 등) (%),포털애플리케이션(네이버 다음 네이트 등) (%)
"전체",소계,24.0,20.2,62.0,12.5,45.4,21.3,18.4,61.6,17.1,44.4,21.7,16.2,70.4,17.0,51.2,20.4,13.9,69.4,26.1,47.8,20.4,10.3,64.0,34.0,45.4
"성별",남,31.5,18.1,57.8,12.9,45.0,27.7,15.8,55.6,18.7,45.3,30.6,14.2,67.3,17.7,51.6,28.6,12.2,64.9,29.1,48.5,29.0,8.9,58.4,36.4,47.3
"성별",여,16.1,22.4,66.4,12.1,45.8,14.7,21.1,67.9,15.3,43.4,12.2,18.4,73.7,16.2,50.9,11.8,15.6,74.1,22.9,47.1,11.4,11.8,69.8,31.5,43.4
"연령",만10대미만,52.2,13.4,46.6,39.8,12.3,59.4,5.1,35.4,53.3,20.7,65.0,5.2,48.8,54.7,22.4,68.2,0.3,39.9,42.3,14.8,66.9,0.0,32.1,35.8,20.7
"연령",만10-19세,51.3,29.1,63.5,24.4,31.7,49.3,24.1,60.0,35.7,28.5,50.7,21.2,63.8,32.2,33.6,55.1,14.9,58.3,37.1,26.3,58.5,13.3,53.9,42.8,20.4
"연령",만20-29세,29.5,34.3,63.4,15.8,45.1,26.0,31.1,62.8,22.1,45.7,26.0,31.8,69.8,20.3,49.1,27.7,26.5,68.9,39.5,41.3,27.4,19.7,63.8,45.5,40.9
"연령",만30-39세,23.9,22.6,66.8,10.5,51.4,18.6,21.4,63.4,16.4,48.7,22.3,18.0,66.5,14.4,48.4,16.8,20.4,71.2,27.1,55.9,20.1,16.6,62.3,33.6,50.1
"연령",만40-49세,20.8,15.2,61.8,10.2,51.0,18.1,16.9,62.7,10.4,50.9,16.3,13.3,72.2,13.1,59.1,14.9,12.2,70.7,19.9,55.4,14.2,9.5,65.7,30.7,53.2
"연령",만50-59세,14.5,14.3,63.9,9.9,51.6,13.5,13.1,65.4,13.8,50.5,11.7,10.3,73.6,12.4,58.6,9.6,8.4,69.8,22.3,52.7,9.0,5.8,65.8,30.8,53.0
"연령",만60-69세,11.4,9.4,57.2,6.9,40.0,11.1,7.6,63.8,9.1,42.6,11.2,5.7,77.5,10.5,56.3,9.8,5.2,75.3,16.7,52.9,7.2,2.9,69.3,29.1,50.9
"연령",만70세이상,6.5,4.0,36.0,2.9,20.3,7.9,4.7,36.0,6.1,16.4,6.7,4.8,75.3,15.5,41.3,5.3,4.3,80.0,11.0,38.7,6.7,1.8,74.9,20.6,34.7
"월평균소득",소득없음,30.4,23.7,65.0,14.4,40.0,28.3,22.1,64.5,21.3,39.7,29.0,17.6,69.5,21.8,46.2,31.5,13.3,67.8,29.1,40.9,33.1,10.4,61.8,37.0,36.5
"월평균소득",50만원미만,14.1,17.2,43.2,15.3,33.3,13.8,14.6,47.3,22.0,28.3,10.1,26.6,72.2,22.2,40.2,13.2,8.3,78.1,28.8,34.2,13.6,8.6,82.9,22.6,38.3
"월평균소득",50-100만원미만,25.2,17.2,60.9,9.0,36.0,12.5,16.2,61.4,16.2,40.3,23.7,9.9,73.9,10.7,52.7,15.5,9.9,75.2,22.3,49.5,16.3,4.8,72.8,36.2,48.3
"월평균소득",100-200만원미만,19.5,18.0,64.0,12.9,48.2,18.5,18.1,66.1,14.1,47.8,16.3,15.2,75.7,14.7,53.2,13.0,13.4,75.2,20.5,48.6,12.5,9.5,66.8,29.6,45.9
"월평균소득",200-300만원미만,20.6,20.3,62.7,11.7,50.7,17.7,16.1,58.6,14.3,50.8,19.1,17.2,70.1,15.3,56.1,15.0,16.5,70.2,28.2,51.5,14.1,10.2,65.2,37.2,49.6
"월평균소득",300-400만원미만,23.1,18.2,60.6,8.5,51.4,18.1,14.4,55.7,14.4,45.8,19.8,14.5,70.3,12.0,54.4,18.8,13.9,67.5,21.9,56.3,16.3,14.7,64.1,31.1,54.0
"월평균소득",400-500만원미만,15.7,13.0,50.9,8.8,58.7,12.8,11.8,46.7,11.1,46.0,17.6,8.8,61.2,12.7,58.8,14.0,13.0,54.5,27.3,50.4,17.3,5.9,56.2,31.1,55.8
"월평균소득",500만원이상,16.5,17.4,44.2,17.0,43.2,19.4,14.5,50.7,17.6,44.3,14.3,11.3,54.0,14.3,46.9,12.1,10.6,58.4,23.8,59.4,13.9,7.5,45.5,24.0,46.6
"학력1",미취학,68.3,31.7,31.7,32.7,0.0,22.7,0.0,14.0,40.5,77.3,85.0,0.0,0.0,83.6,0.0,89.0,0.0,0.0,40.4,0.0,92.8,0.0,0.0,23.5,0.0
"학력1",초졸이하,42.1,10.8,47.3,21.8,22.5,41.3,6.8,46.9,30.5,21.0,49.4,7.9,66.6,33.5,30.5,48.6,2.7,60.8,30.6,27.2,48.0,2.3,54.1,36.0,23.8
"학력1",중졸이하,32.1,14.9,60.1,11.5,33.8,25.8,17.0,60.5,19.5,31.7,25.0,13.2,72.3,19.3,41.4,27.6,8.2,72.5,25.8,39.4,25.1,6.2,68.5,32.2,33.2
"학력1",고졸이하,21.1,17.0,66.2,11.4,49.2,20.1,15.7,66.6,13.0,47.5,17.6,12.4,74.6,14.9,55.2,14.6,11.7,73.8,20.3,51.6,15.1,7.4,68.5,32.2,51.2
"학력1",대졸이하,22.1,25.2,61.9,12.1,48.1,18.0,22.8,61.4,17.1,48.1,20.2,20.6,68.0,15.4,53.3,18.1,18.6,67.7,29.3,50.1,18.1,14.8,62.4,35.5,47.6
"학력1",대학원재학이상,15.1,21.6,56.8,9.0,51.7,15.2,22.2,54.4,16.6,55.1,7.7,18.6,69.4,15.7,51.6,12.5,12.8,61.0,27.4,61.7,8.4,7.8,54.8,29.2,53.3
"지역",서울,20.4,20.4,53.5,10.6,49.5,15.9,13.9,54.8,10.9,45.2,23.6,14.9,64.2,13.8,49.5,21.9,13.3,62.1,29.9,38.9,22.0,9.2,57.2,33.4,40.3
"지역",부산,26.3,10.5,69.6,12.1,42.8,16.7,9.5,77.9,25.1,48.4,14.5,8.1,82.3,17.8,51.8,18.9,11.2,74.4,20.1,49.4,9.4,4.5,76.3,35.1,46.4
"지역",대구,21.5,36.4,50.0,11.8,39.2,20.7,29.3,53.2,18.8,37.0,26.4,20.3,45.6,24.6,40.3,25.7,13.8,53.7,31.3,30.2,20.1,13.7,48.8,36.5,29.1
"지역",인천,28.3,14.8,42.6,19.0,45.2,26.0,14.8,46.7,26.3,45.0,22.3,15.6,61.4,23.3,60.6,26.7,9.2,58.4,23.4,44.2,26.2,8.2,53.9,36.6,49.2
"지역",광주,17.7,34.7,69.3,8.9,34.9,16.0,13.9,72.8,14.5,42.5,10.2,16.1,86.1,6.8,55.7,9.9,23.3,87.1,6.4,72.2,7.6,17.2,85.0,14.0,61.0
"지역",대전,25.8,16.7,88.2,9.9,50.2,26.3,33.7,72.5,15.2,49.4,27.8,27.7,94.1,16.6,46.9,25.4,27.0,82.8,24.2,55.2,23.7,13.4,83.6,30.5,63.6
"지역",울산,23.3,11.7,83.0,23.6,46.8,35.0,26.7,75.1,27.4,48.4,12.3,26.5,90.4,18.3,68.0,12.5,20.4,92.3,11.3,79.3,12.3,18.5,85.5,53.1,76.6
"지역",경기,22.2,22.0,54.4,17.5,46.5,19.8,20.0,58.6,21.1,45.6,22.9,19.0,64.8,19.1,49.1,21.1,14.4,62.3,31.7,43.4,24.6,11.2,55.0,33.8,37.5
"지역",강원,19.1,18.2,64.1,12.5,30.9,18.5,18.8,51.0,18.8,18.0,24.5,10.5,71.7,23.1,28.7,35.5,21.0,67.1,21.1,32.4,37.2,11.4,64.5,36.4,31.1
"지역",충북,28.5,13.0,81.0,4.9,53.4,30.2,21.1,71.6,10.3,64.6,29.4,9.4,82.0,17.7,65.3,13.1,8.7,88.0,19.8,76.7,17.9,6.8,76.8,39.7,71.2
"지역",충남,27.9,28.8,84.6,11.9,37.8,23.3,50.3,81.6,7.5,42.8,30.2,13.8,86.4,14.0,49.3,35.9,18.1,87.3,33.3,54.1,19.0,6.9,82.5,45.7,60.0
