,mar20,apr20,may20,jun20,jul20,aug20,sep20,oct20,nov20,dec20
0,130900,32390.0,70147,28428.0,94073,436480,64780.0,372156,228647.0,40854
1,63441,27536.0,74721,27218.0,83832,369037,72023.0,411306,72249.0,40058
2,60084,25690.0,74923,28185.0,93356,192059,69075.0,389451,67671.0,48299
3,61515,42628.0,49275,84157.0,192541,191830,82074.0,299083,125420.0,42529
4,65692,37548.0,114696,84798.0,166229,452463,160869.0,89942,114139.0,68470
5,68790,15725.0,32685,165677.0,56653,384029,141700.0,78047,141729.0,64329
6,123977,15429.0,30920,151396.0,55184,421208,54559.0,86065,296003.0,24014
7,106888,18634.0,28718,46276.0,67422,729498,53254.0,89690,271064.0,21756
8,51615,18514.0,80420,43091.0,63649,654596,62622.0,194953,82144.0,24744
9,51426,18992.0,69039,74653.0,70847,265688,68788.0,180855,79844.0,48472
10,57005,40012.0,24054,107343.0,143306,244876,74379.0,157955,96134.0,40461
11,50020,39689.0,24657,103720.0,131387,312748,146177.0,54747,108349.0,56294
12,52613,15805.0,28416,207343.0,51066,279371,121534.0,54051,124869.0,50509
13,102319,16136.0,29332,195876.0,48767,421265,42684.0,57006,238921.0,21875
14,89076,45868.0,36252,54457.0,376009,657828,42644.0,79026,216000.0,20731
15,36445,20123.0,69114,52895.0,247639,595561,46746.0,83335,72370.0,25057
16,36837,24394.0,64641,63429.0,287503,404734,67224.0,171094,70450.0,25870
17,39183,45453.0,25864,111110.0,554620,144452,69147.0,151008,91234.0,25826
18,37532,46883.0,26906,107169.0,483637,128740,142220.0,53927,86086.0,42468
19,40938,18900.0,29061,198190.0,163070,112834,121555.0,54988,101368.0,38944
20,72707,20002.0,32133,183468.0,139937,106498,39653.0,79009,174380.0,18550
21,62249,21295.0,34783,46791.0,144944,195928,39235.0,129163,166674.0,20257
22,25873,24447.0,72858,49020.0,129697,174528,62914.0,125022,50530.0,65196
23,25902,23582.0,71410,235954.0,163006,63788,83587.0,233525,44059.0,65960
24,62019,48434.0,28240,206970.0,326606,58608,85814.0,206535,83365.0,141746
25,40180,44236.0,29591,214441.0,271437,176421,165883.0,75389,60903.0,87197
26,41627,19820.0,49597,409650.0,98761,113737,152362.0,77339,61281.0,79216
27,62827,25547.0,33504,375375.0,102440,119775,66995.0,130025,110677.0,34456
28,53447,71905.0,38134,99375.0,321919,190060,250413.0,80546,105139.0,36828
29,26776,106955.0,74943,108078.0,215462,159983,337737.0,135481,53611.0,52810
30,34819,,77202,,273702,76076,,252890,,65097
