,mar20,apr20,may20,jun20,jul20,aug20,sep20,oct20,nov20,dec20
0,586.0,101.0,9.0,35.0,51.0,31.0,235.0,77.0,124.0,451.0
1,0.0,89.0,6.0,38.0,54.0,30.0,267.0,63.0,97.0,511.0
2,0.0,86.0,13.0,49.0,63.0,23.0,195.0,75.0,75.0,540.0
3,516.0,94.0,8.0,39.0,63.0,34.0,198.0,64.0,118.0,629.0
4,438.0,81.0,3.0,51.0,61.0,33.0,168.0,73.0,125.0,583.0
5,518.0,47.0,2.0,39.0,48.0,43.0,167.0,75.0,145.0,631.0
6,483.0,47.0,4.0,57.0,44.0,20.0,119.0,114.0,89.0,615.0
7,367.0,53.0,12.0,38.0,63.0,43.0,136.0,69.0,143.0,594.0
8,248.0,39.0,18.0,38.0,50.0,36.0,156.0,54.0,126.0,686.0
9,131.0,27.0,34.0,50.0,45.0,28.0,155.0,72.0,100.0,682.0
10,242.0,30.0,35.0,45.0,35.0,34.0,176.0,58.0,146.0,689.0
11,114.0,32.0,27.0,56.0,44.0,54.0,136.0,97.0,143.0,950.0
12,110.0,25.0,26.0,49.0,62.0,56.0,121.0,102.0,191.0,1030.0
13,107.0,27.0,29.0,34.0,33.0,103.0,109.0,84.0,205.0,718.0
14,76.0,27.0,27.0,37.0,39.0,166.0,106.0,110.0,208.0,880.0
15,74.0,22.0,19.0,34.0,61.0,279.0,113.0,47.0,223.0,1078.0
16,84.0,22.0,13.0,43.0,60.0,197.0,153.0,73.0,230.0,1014.0
17,93.0,18.0,15.0,59.0,39.0,246.0,126.0,91.0,313.0,1062.0
18,152.0,8.0,13.0,49.0,34.0,297.0,110.0,76.0,343.0,1053.0
19,87.0,13.0,32.0,67.0,26.0,288.0,82.0,58.0,363.0,1097.0
20,147.0,9.0,12.0,48.0,45.0,324.0,70.0,91.0,386.0,926.0
21,98.0,11.0,20.0,17.0,63.0,332.0,61.0,121.0,330.0,869.0
22,64.0,8.0,23.0,46.0,59.0,397.0,110.0,155.0,271.0,1092.0
23,76.0,6.0,25.0,51.0,41.0,266.0,125.0,77.0,349.0,985.0
24,100.0,10.0,16.0,28.0,113.0,280.0,114.0,61.0,382.0,1241.0
25,104.0,10.0,19.0,39.0,58.0,320.0,61.0,119.0,583.0,1132.0
26,91.0,10.0,40.0,51.0,25.0,441.0,95.0,88.0,569.0,970.0
27,146.0,14.0,79.0,62.0,28.0,371.0,50.0,103.0,504.0,808.0
28,105.0,9.0,58.0,42.0,48.0,323.0,38.0,125.0,450.0,1046.0
29,78.0,4.0,39.0,43.0,18.0,299.0,113.0,114.0,438.0,1050.0
30,125.0,,27.0,,36.0,248.0,,127.0,,967.0
