,jan21,feb21,mar21,apr21,may21,jun21,jul21,aug21,sep21,oct21,nov21,dec21
0,60747,60260.0,162608,65824.0,204635,76466.0,118656,409792,224163.0,115591,81511.0,138340
1,49018,59759.0,47070,68983.0,159691,77178.0,164475,225973,155882.0,242601,83333.0,118661
2,40186,107395.0,77666,187487.0,57398,121954.0,306639,217963,173685.0,264556,337027.0,123887
3,14518,82535.0,79700,160755.0,77940,148388.0,286630,230747,396214.0,212283,223146.0,236162
4,15741,84352.0,87069,43160.0,326744,347457.0,93561,203358,364069.0,58414,277533.0,209509
5,16591,179138.0,222971,40889.0,61494,307184.0,109637,189014,110139.0,72805,592547.0,68607
6,15393,162214.0,214664,56611.0,69404,91282.0,256487,358920,92777.0,62562,515982.0,67631
7,15419,61927.0,58559,52712.0,113036,78851.0,224746,347158,100032.0,77907,143154.0,84529
8,34658,64470.0,55426,60001.0,122405,98863.0,249764,135384,106840.0,170800,125358.0,90725
9,30662,108568.0,58456,119307.0,40077,89855.0,527019,129620,110278.0,195155,180743.0,89414
10,10776,167142.0,71930,108861.0,39008,124331.0,462065,259735,251127.0,151081,148272.0,154135
11,11659,167858.0,79767,39056.0,53654,270495.0,125104,226155,245787.0,49925,179499.0,145378
12,13497,197651.0,177135,40305.0,42390,229702.0,112252,240010,73204.0,231126,387484.0,52396
13,20741,174552.0,165520,39199.0,50196,69265.0,253765,472833,67196.0,150583,344818.0,59070
14,19195,70062.0,46429,76248.0,130445,71352.0,178803,508470,153236.0,180934,95217.0,657469
15,35274,62858.0,48900,93299.0,123740,137078.0,206321,418933,115536.0,418165,87248.0,415297
16,32817,80865.0,68423,167374.0,34953,129465.0,392986,156277,147184.0,367388,151505.0,438838
17,11784,81164.0,74377,138435.0,44010,156161.0,341781,233432,300368.0,93639,179794.0,679040
18,13440,80009.0,73637,45141.0,482681,326960.0,119601,198185,296612.0,84948,173478.0,715005
19,71631,156198.0,176741,45866.0,125570,287133.0,112831,210249,270476.0,143264,301574.0,231784
20,56464,148410.0,152603,57495.0,144091,100461.0,157503,479617,339780.0,110690,276388.0,216070
21,59664,61468.0,43209,53146.0,316902,98927.0,143064,474275,340820.0,151158,111304.0,294007
22,154888,65159.0,44215,61472.0,289145,160234.0,148543,142036,98655.0,312184,112298.0,252592
23,148725,112130.0,79648,185489.0,87394,133164.0,311453,134719,99728.0,281255,204478.0,363934
24,52991,85570.0,82619,123762.0,80606,156374.0,286090,199410,194056.0,86521,153123.0,814717
25,53749,85210.0,92743,45836.0,154357,336730.0,110319,129593,182893.0,79514,171189.0,592407
26,166322,158912.0,252086,56448.0,104276,303930.0,112679,145777,52312.0,142360,326771.0,205300
27,85395,186084.0,225309,121227.0,139648,106110.0,257879,314366,55978.0,95654,311090.0,184211
28,89553,,64528,89372.0,320570,107360.0,207094,308608,170445.0,119962,113019.0,257281
29,198648,,61726,118525.0,286486,185280.0,221926,97131,122847.0,240786,123932.0,232871
30,185971,,110776,,96530,,376778,112342,,228328,,313716
