,jan21,feb21,mar21,apr21,may21,jun21,jul21,aug21,sep21,oct21,nov21,dec21
0,1029.0,305.0,355.0,551.0,627.0,459.0,762.0,1442.0,2025.0,2486.0,1686.0,5123.0
1,824.0,336.0,344.0,558.0,606.0,677.0,826.0,1219.0,1961.0,2248.0,1589.0,5266.0
2,657.0,467.0,444.0,543.0,488.0,681.0,794.0,1202.0,1709.0,2086.0,2667.0,4944.0
3,1020.0,451.0,424.0,543.0,541.0,695.0,743.0,1725.0,1804.0,1673.0,2482.0,5352.0
4,715.0,370.0,398.0,473.0,676.0,744.0,711.0,1776.0,1490.0,1575.0,2344.0,5128.0
5,840.0,393.0,418.0,478.0,574.0,39.0,746.0,1704.0,1375.0,2028.0,2248.0,4325.0
6,870.0,372.0,416.0,668.0,525.0,485.0,1212.0,1823.0,1597.0,2427.0,2224.0,4954.0
7,674.0,289.0,346.0,700.0,701.0,454.0,1275.0,1729.0,2050.0,2176.0,1760.0,7175.0
8,641.0,303.0,446.0,671.0,564.0,602.0,1316.0,1492.0,2049.0,1953.0,1715.0,7102.0
9,665.0,444.0,470.0,677.0,463.0,611.0,39.0,1540.0,1892.0,1594.0,2425.0,7022.0
10,451.0,504.0,465.0,614.0,511.0,556.0,570.0,2223.0,1865.0,1297.0,2520.0,6977.0
11,537.0,403.0,488.0,587.0,635.0,565.0,1100.0,1987.0,1755.0,1347.0,2368.0,6689.0
12,562.0,362.0,490.0,542.0,715.0,452.0,1150.0,1990.0,1433.0,1584.0,2325.0,5817.0
13,524.0,326.0,459.0,731.0,747.0,399.0,1615.0,1930.0,1497.0,1940.0,2419.0,5567.0
14,513.0,344.0,382.0,698.0,681.0,374.0,1600.0,1817.0,2080.0,1684.0,2006.0,7850.0
15,580.0,457.0,363.0,673.0,610.0,545.0,1536.0,1556.0,1943.0,1618.0,2125.0,7622.0
16,520.0,621.0,469.0,658.0,619.0,540.0,1455.0,1373.0,2008.0,1420.0,3187.0,7435.0
17,389.0,621.0,445.0,672.0,528.0,507.0,1454.0,1805.0,2087.0,1050.0,3292.0,7314.0
18,386.0,561.0,463.0,532.0,654.0,482.0,1252.0,2152.0,1910.0,1073.0,3034.0,6236.0
19,404.0,448.0,452.0,549.0,646.0,429.0,1278.0,2052.0,1605.0,1571.0,3212.0,5318.0
20,401.0,416.0,456.0,731.0,561.0,357.0,1784.0,1880.0,1729.0,1441.0,3120.0,5202.0
21,346.0,332.0,415.0,735.0,666.0,395.0,1842.0,1628.0,1720.0,1440.0,2827.0,7456.0
22,431.0,357.0,346.0,797.0,39.0,645.0,1630.0,1418.0,1716.0,1508.0,2699.0,6919.0
23,392.0,440.0,428.0,785.0,538.0,610.0,1629.0,1509.0,2434.0,1423.0,4115.0,6233.0
24,437.0,396.0,430.0,644.0,516.0,634.0,1487.0,2155.0,3273.0,1190.0,3938.0,5842.0
25,354.0,406.0,494.0,500.0,707.0,668.0,1318.0,1882.0,2771.0,1266.0,3901.0,5419.0
26,559.0,415.0,505.0,512.0,629.0,614.0,1365.0,1841.0,2383.0,1952.0,4068.0,4207.0
27,497.0,356.0,482.0,775.0,587.0,501.0,1896.0,1793.0,2289.0,2111.0,3928.0,3865.0
28,469.0,,384.0,680.0,533.0,595.0,1674.0,1619.0,2885.0,2124.0,3309.0,5409.0
29,458.0,,447.0,661.0,39.0,794.0,1710.0,1487.0,2564.0,2104.0,3032.0,5037.0
30,355.0,,506.0,,430.0,,1539.0,1372.0,,2061.0,,
