,year,month,day,covid
698,2020,12,31,967.0
699,2020,12,30,1050.0
700,2020,12,29,1046.0
702,2020,12,28,808.0
703,2020,12,27,970.0
704,2020,12,26,1132.0
705,2020,12,25,1241.0
706,2020,12,24,985.0
708,2020,12,23,1092.0
710,2020,12,22,869.0
712,2020,12,21,926.0
713,2020,12,20,1097.0
714,2020,12,19,1053.0
716,2020,12,18,1062.0
717,2020,12,17,1014.0
719,2020,12,16,1078.0
720,2020,12,15,880.0
721,2020,12,14,718.0
722,2020,12,13,1030.0
723,2020,12,12,950.0
724,2020,12,11,689.0
725,2020,12,10,682.0
726,2020,12,09,686.0
727,2020,12,08,594.0
728,2020,12,07,615.0
729,2020,12,06,631.0
730,2020,12,05,583.0
731,2020,12,04,629.0
732,2020,12,03,540.0
733,2020,12,02,511.0
734,2020,12,01,451.0
735,2020,11,30,438.0
736,2020,11,29,450.0
738,2020,11,28,504.0
739,2020,11,27,569.0
740,2020,11,26,583.0
741,2020,11,25,382.0
742,2020,11,24,349.0
743,2020,11,23,271.0
744,2020,11,22,330.0
745,2020,11,21,386.0
746,2020,11,20,363.0
747,2020,11,19,343.0
748,2020,11,18,313.0
749,2020,11,17,230.0
750,2020,11,16,223.0
751,2020,11,15,208.0
752,2020,11,14,205.0
753,2020,11,13,191.0
754,2020,11,12,143.0
755,2020,11,11,146.0
756,2020,11,10,100.0
757,2020,11,09,126.0
758,2020,11,08,143.0
759,2020,11,07,89.0
760,2020,11,06,145.0
761,2020,11,05,125.0
762,2020,11,04,118.0
763,2020,11,03,75.0
764,2020,11,02,97.0
765,2020,11,01,124.0
766,2020,10,31,127.0
767,2020,10,30,114.0
768,2020,10,29,125.0
769,2020,10,28,103.0
770,2020,10,27,88.0
771,2020,10,26,119.0
772,2020,10,25,61.0
773,2020,10,24,77.0
774,2020,10,23,155.0
775,2020,10,22,121.0
776,2020,10,21,91.0
777,2020,10,20,58.0
778,2020,10,19,76.0
780,2020,10,18,91.0
781,2020,10,17,73.0
782,2020,10,16,47.0
783,2020,10,15,110.0
784,2020,10,14,84.0
785,2020,10,13,102.0
786,2020,10,12,97.0
787,2020,10,11,58.0
788,2020,10,10,72.0
789,2020,10,09,54.0
790,2020,10,08,69.0
791,2020,10,07,114.0
792,2020,10,06,75.0
793,2020,10,05,73.0
794,2020,10,04,64.0
795,2020,10,03,75.0
797,2020,10,02,63.0
798,2020,10,01,77.0
799,2020,09,30,113.0
800,2020,09,29,38.0
801,2020,09,28,50.0
802,2020,09,27,95.0
803,2020,09,26,61.0
805,2020,09,25,114.0
806,2020,09,24,125.0
808,2020,09,23,110.0
809,2020,09,22,61.0
810,2020,09,21,70.0
811,2020,09,20,82.0
812,2020,09,19,110.0
813,2020,09,18,126.0
814,2020,09,17,153.0
815,2020,09,16,113.0
816,2020,09,15,106.0
817,2020,09,14,109.0
818,2020,09,13,121.0
819,2020,09,12,136.0
820,2020,09,11,176.0
821,2020,09,10,155.0
822,2020,09,09,156.0
823,2020,09,08,136.0
824,2020,09,07,119.0
825,2020,09,06,167.0
826,2020,09,05,168.0
827,2020,09,04,198.0
828,2020,09,03,195.0
829,2020,09,02,267.0
830,2020,09,01,235.0
831,2020,08,31,248.0
832,2020,08,30,299.0
833,2020,08,29,323.0
834,2020,08,28,371.0
835,2020,08,27,441.0
836,2020,08,26,320.0
837,2020,08,25,280.0
838,2020,08,24,266.0
839,2020,08,23,397.0
840,2020,08,22,332.0
841,2020,08,21,324.0
842,2020,08,20,288.0
843,2020,08,19,297.0
844,2020,08,18,246.0
845,2020,08,17,197.0
846,2020,08,16,279.0
847,2020,08,15,166.0
848,2020,08,14,103.0
849,2020,08,13,56.0
850,2020,08,12,54.0
851,2020,08,11,34.0
852,2020,08,10,28.0
853,2020,08,09,36.0
854,2020,08,08,43.0
855,2020,08,07,20.0
856,2020,08,06,43.0
858,2020,08,05,33.0
859,2020,08,04,34.0
860,2020,08,03,23.0
861,2020,08,02,30.0
862,2020,08,01,31.0
863,2020,07,31,36.0
864,2020,07,30,18.0
865,2020,07,29,48.0
866,2020,07,28,28.0
867,2020,07,27,25.0
868,2020,07,26,58.0
869,2020,07,25,113.0
870,2020,07,24,41.0
871,2020,07,23,59.0
872,2020,07,22,63.0
873,2020,07,21,45.0
874,2020,07,20,26.0
875,2020,07,19,34.0
876,2020,07,18,39.0
877,2020,07,17,60.0
878,2020,07,16,61.0
879,2020,07,15,39.0
880,2020,07,14,33.0
881,2020,07,13,62.0
882,2020,07,12,44.0
883,2020,07,11,35.0
884,2020,07,10,45.0
885,2020,07,09,50.0
886,2020,07,08,63.0
887,2020,07,07,44.0
888,2020,07,06,48.0
889,2020,07,05,61.0
890,2020,07,04,63.0
891,2020,07,03,63.0
892,2020,07,02,54.0
893,2020,07,01,51.0
894,2020,06,30,43.0
895,2020,06,29,42.0
896,2020,06,28,62.0
897,2020,06,27,51.0
899,2020,06,26,39.0
900,2020,06,25,28.0
901,2020,06,24,51.0
902,2020,06,23,46.0
903,2020,06,22,17.0
904,2020,06,21,48.0
905,2020,06,20,67.0
906,2020,06,19,49.0
907,2020,06,18,59.0
908,2020,06,17,43.0
909,2020,06,16,34.0
910,2020,06,15,37.0
911,2020,06,14,34.0
912,2020,06,13,49.0
913,2020,06,12,56.0
914,2020,06,11,45.0
915,2020,06,10,50.0
916,2020,06,09,38.0
917,2020,06,08,38.0
918,2020,06,07,57.0
919,2020,06,05,51.0
920,2020,06,05,39.0
921,2020,06,04,39.0
922,2020,06,03,49.0
