,year,month,day,covid
0,2021,12,31,4875.0
1,2021,12,30,5037.0
2,2021,12,29,5409.0
3,2021,12,28,3865.0
4,2021,12,27,4207.0
5,2021,12,26,5419.0
6,2021,12,25,5842.0
7,2021,12,24,6233.0
8,2021,12,23,6919.0
9,2021,12,22,7456.0
10,2021,12,21,5202.0
11,2021,12,20,5318.0
12,2021,12,19,6236.0
13,2021,12,18,7314.0
14,2021,12,17,7435.0
15,2021,12,16,7622.0
16,2021,12,15,7850.0
17,2021,12,14,5567.0
18,2021,12,13,5817.0
19,2021,12,12,6689.0
20,2021,12,11,6977.0
21,2021,12,10,7022.0
22,2021,12,09,7102.0
23,2021,12,08,7175.0
24,2021,12,07,4954.0
25,2021,12,06,4325.0
26,2021,12,05,5128.0
27,2021,12,04,5352.0
28,2021,12,03,4944.0
29,2021,12,02,5266.0
30,2021,12,01,5123.0
31,2021,11,30,3032.0
32,2021,11,29,3309.0
33,2021,11,28,3928.0
34,2021,11,27,4068.0
35,2021,11,26,3901.0
36,2021,11,25,3938.0
37,2021,11,24,4115.0
38,2021,11,23,2699.0
39,2021,11,22,2827.0
40,2021,11,21,3120.0
41,2021,11,20,3212.0
42,2021,11,19,3034.0
43,2021,11,18,3292.0
44,2021,11,17,3187.0
45,2021,11,16,2125.0
46,2021,11,15,2006.0
47,2021,11,14,2419.0
48,2021,11,13,2325.0
49,2021,11,12,2368.0
50,2021,11,11,2520.0
51,2021,11,10,2425.0
52,2021,11,09,1715.0
53,2021,11,08,1760.0
54,2021,11,07,2224.0
55,2021,11,06,2248.0
56,2021,11,05,2344.0
57,2021,11,04,2482.0
58,2021,11,03,2667.0
59,2021,11,02,1589.0
60,2021,11,01,1686.0
61,2021,10,31,2061.0
62,2021,10,30,2104.0
63,2021,10,29,2124.0
64,2021,10,28,2111.0
65,2021,10,27,1952.0
66,2021,10,26,1266.0
67,2021,10,25,1190.0
68,2021,10,24,1423.0
69,2021,10,23,1508.0
70,2021,10,22,1440.0
71,2021,10,21,1441.0
72,2021,10,20,1571.0
73,2021,10,19,1073.0
74,2021,10,18,1050.0
75,2021,10,17,1420.0
76,2021,10,16,1618.0
77,2021,10,15,1684.0
78,2021,10,14,1940.0
79,2021,10,13,1584.0
80,2021,10,12,1347.0
81,2021,10,11,1297.0
82,2021,10,10,1594.0
83,2021,10,09,1953.0
84,2021,10,08,2176.0
85,2021,10,07,2427.0
86,2021,10,06,2028.0
87,2021,10,05,1575.0
88,2021,10,04,1673.0
89,2021,10,03,2086.0
90,2021,10,02,2248.0
91,2021,10,01,2486.0
92,2021,09,30,2564.0
93,2021,09,29,2885.0
94,2021,09,28,2289.0
95,2021,09,27,2383.0
96,2021,09,26,2771.0
97,2021,09,25,3273.0
98,2021,09,24,2434.0
99,2021,09,23,1716.0
100,2021,09,22,1720.0
101,2021,09,21,1729.0
102,2021,09,20,1605.0
103,2021,09,19,1910.0
104,2021,09,18,2087.0
105,2021,09,17,2008.0
106,2021,09,16,1943.0
107,2021,09,15,2080.0
108,2021,09,14,1497.0
109,2021,09,13,1433.0
110,2021,09,12,1755.0
111,2021,09,11,1865.0
112,2021,09,10,1892.0
113,2021,09,09,2049.0
114,2021,09,08,2050.0
