,20c3m4,20c4m5,20c5m6,20c6m7,20c7m8,20c8m9,20c9m10,20c10m11,20c11m12,20c1221m1,21c1m2,21c2m3,21c3m4,21c4m5,21c5m6,21c6m7,21c7m8,21c8m9,21c9m10,21c10m11,21c11m12
0,125.0,4.0,27.0,43.0,36.0,248.0,113.0,127.0,438.0,967.0,355.0,356.0,506.0,661.0,430.0,794.0,1539.0,1372.0,2564.0,2061.0,3032.0
1,78.0,9.0,39.0,42.0,18.0,299.0,38.0,114.0,450.0,1050.0,458.0,415.0,447.0,680.0,39.0,595.0,1710.0,1487.0,2885.0,2104.0,3309.0
2,105.0,14.0,58.0,62.0,48.0,323.0,50.0,125.0,504.0,1046.0,469.0,406.0,384.0,775.0,533.0,501.0,1674.0,1619.0,2289.0,2124.0,3928.0
3,146.0,10.0,79.0,51.0,28.0,371.0,95.0,103.0,569.0,808.0,497.0,396.0,482.0,512.0,587.0,614.0,1896.0,1793.0,2383.0,2111.0,4068.0
4,91.0,10.0,40.0,39.0,25.0,441.0,61.0,88.0,583.0,970.0,559.0,440.0,505.0,500.0,629.0,668.0,1365.0,1841.0,2771.0,1952.0,3901.0
5,104.0,10.0,19.0,28.0,58.0,320.0,114.0,119.0,382.0,1132.0,354.0,357.0,494.0,644.0,707.0,634.0,1318.0,1882.0,3273.0,1266.0,3938.0
6,100.0,6.0,16.0,51.0,113.0,280.0,125.0,61.0,349.0,1241.0,437.0,332.0,430.0,785.0,516.0,610.0,1487.0,2155.0,2434.0,1190.0,4115.0
7,76.0,8.0,25.0,46.0,41.0,266.0,110.0,77.0,271.0,985.0,392.0,416.0,428.0,797.0,538.0,645.0,1629.0,1509.0,1716.0,1423.0,2699.0
8,64.0,11.0,23.0,17.0,59.0,397.0,61.0,155.0,330.0,1092.0,431.0,448.0,346.0,735.0,39.0,395.0,1630.0,1418.0,1720.0,1508.0,2827.0
9,98.0,9.0,20.0,48.0,63.0,332.0,70.0,121.0,386.0,869.0,346.0,561.0,415.0,731.0,666.0,357.0,1842.0,1628.0,1729.0,1440.0,3120.0
10,147.0,13.0,12.0,67.0,45.0,324.0,82.0,91.0,363.0,926.0,401.0,621.0,456.0,549.0,561.0,429.0,1784.0,1880.0,1605.0,1441.0,3212.0
11,87.0,8.0,32.0,49.0,26.0,288.0,110.0,58.0,343.0,1097.0,404.0,621.0,452.0,532.0,646.0,482.0,1278.0,2052.0,1910.0,1571.0,3034.0
12,152.0,18.0,13.0,59.0,34.0,297.0,126.0,76.0,313.0,1053.0,386.0,457.0,463.0,672.0,654.0,507.0,1252.0,2152.0,2087.0,1073.0,3292.0
13,93.0,22.0,15.0,43.0,39.0,246.0,153.0,91.0,230.0,1062.0,389.0,344.0,445.0,658.0,528.0,540.0,1454.0,1805.0,2008.0,1050.0,3187.0
14,84.0,22.0,13.0,34.0,60.0,197.0,113.0,73.0,223.0,1014.0,520.0,326.0,469.0,673.0,619.0,545.0,1455.0,1373.0,1943.0,1420.0,2125.0
