,year,month,revenue,m_count
0,2019,01,151161478196,18122443
1,2019,02,189990807970,22277733
2,2019,03,126559017449,14671693
3,2019,04,113184664392,13338962
4,2019,05,154563004957,18062457
5,2019,06,195237798708,22845579
6,2019,07,184101302717,21916465
7,2019,08,208958173044,24786121
8,2019,09,124445262708,14733642
9,2019,10,123754715700,14858383
10,2019,11,155388033415,18600679
11,2019,12,186644820812,22464620
12,2020,01,143681061430,16843695
13,2020,02,62303647980,7372370
14,2020,03,15152718950,1834722
15,2020,04,7515666040,972572
16,2020,05,12393715040,1526236
17,2020,06,32760133800,3864533
18,2020,07,47239833650,5618701
19,2020,08,77213885539,8834699
20,2020,09,26031868372,2988647
21,2020,10,41527819390,4633609
22,2020,11,32150024750,3595310
23,2020,12,12404343250,1438873
24,2021,01,15793377040,1786117
25,2021,02,28738934810,3111920
26,2021,03,30158665300,3256510
27,2021,04,23542365690,2562285
28,2021,05,41071280050,4379476
29,2021,06,47026572590,4927990
30,2021,07,68341733480,6976451
31,2021,08,76386142710,7910082
32,2021,09,52212487313,5412319
33,2021,10,50827351270,5192139
34,2021,11,65932033239,6512815
35,2021,12,84508044908,8502983
