지역,이용경험있음_증감률,이용경험없음_증감률
강원,110.3658536585366,-53.86904761904761
경기,123.71967654986523,-72.97297297297297
경남,60.887949260042284,-54.64895635673624
경북,157.67634854771785,-50.06587615283268
광주,159.6491228070175,-82.97872340425532
대구,121.19402985074626,-61.05263157894737
대전,22.802197802197817,-61.029411764705884
부산,53.81818181818181,-65.77777777777779
서울,148.99713467048713,-79.87711213517665
세종,25.745257452574528,-72.51908396946564
울산,31.464174454828665,-56.42458100558658
인천,111.97007481296757,-74.95826377295492
전남,567.5,-77.38636363636363
전북,130.08356545961,-72.85491419656786
제주,50.81585081585083,-38.17863397548162
충남,18.46381093057607,-38.69969040247677
충북,19.553072625698327,-49.29577464788732
