"구분별(1)",구분별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"구분별(1)",구분별(2),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),유튜브 (%),넷플릭스(Netflix) (%),에브리온 TV (%),카카오 TV (%),네이버 TV캐스트 (%),네이버 V앱 (%),다음 tv팟 (%),곰 TV (%),아프리카 TV (%),기타 (%),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),에브리온 TV (%),곰 TV (%),네이버 시리즈(구 네이버N 스토어) (%),기타 (%),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),넷플릭스(Netflix) (%),에브리온 TV (%),곰 TV (%),네이버 시리즈(구 네이버N 스토어) (%),기타 (%),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),유튜브 (%),넷플릭스(Netflix) (%),에브리온 TV (%),카카오 TV (%),곰 TV (%),네이버 시리즈(구 네이버N 스토어) (%),아마존 프라임 비디오 (%),기타 (%)
"전체",소계,522.0,22.0,11.4,23.0,9.4,6.2,25.9,0.8,0.3,6.3,8.4,3.3,3.6,3.2,15.1,0.3,432.9,27.0,14.0,33.0,11.5,10.5,1.6,5.5,4.9,1.7,1016.4,24.8,11.2,22.4,12.6,13.6,2.7,1.6,13.7,6.0,0.8,1469.1,13.5,6.2,12.0,6.4,6.6,64.1,14.5,0.2,19.0,5.3,4.0,0.7,0.7
"성별",남,270.6,25.3,13.2,23.0,14.8,5.1,19.2,0.0,0.4,7.3,6.7,1.2,2.7,3.4,12.2,0.0,222.4,29.1,13.5,30.7,10.6,11.8,3.1,6.4,5.3,1.5,530.0,23.3,12.1,24.9,10.6,11.9,2.8,1.1,16.9,5.1,1.2,790.6,13.0,5.0,13.1,4.0,6.8,67.6,14.5,0.1,18.7,6.9,3.0,1.2,0.2
"성별",여,251.4,18.2,9.4,23.0,3.1,7.6,33.7,1.8,0.2,5.2,10.2,5.9,4.6,3.1,18.5,0.7,210.6,24.9,14.4,35.2,12.3,9.2,0.0,4.5,4.5,1.9,486.3,26.4,10.1,19.7,14.7,15.4,2.6,2.1,10.3,6.9,0.3,678.4,14.1,7.5,10.7,9.2,6.2,60.0,14.5,0.2,19.3,3.5,5.2,0.2,1.3
"연령",만10대미만,4.6,86.6,0.0,56.0,0.0,0.0,0.0,0.0,0.0,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,9.1,24.5,16.6,0.0,0.0,22.5,0.0,25.0,0.0,11.4,0.0,21.7,10.3,0.0,0.0,5.4,8.1,84.4,0.0,0.0,14.5,16.5,0.0,0.0,0.0
"연령",만10-19세,57.9,9.6,7.7,15.2,9.9,5.1,49.9,0.0,0.0,3.9,5.0,21.3,4.3,4.5,23.4,0.0,13.7,4.0,6.4,50.3,0.0,30.1,0.0,9.1,0.0,0.0,73.9,21.4,12.2,16.8,14.5,8.7,2.7,0.6,20.3,18.7,0.8,134.5,9.3,1.9,3.0,4.7,3.0,72.4,14.6,0.0,24.0,7.5,1.8,0.1,0.1
"연령",만20-29세,160.5,17.2,8.7,27.0,8.0,1.8,31.7,1.3,0.7,1.5,14.9,1.0,5.7,5.3,25.9,0.0,141.5,37.1,22.1,21.3,11.3,4.0,3.5,4.7,8.5,4.5,340.0,25.8,9.1,24.7,9.4,14.3,5.1,1.3,14.9,5.2,2.1,396.0,14.8,5.9,12.5,9.2,7.0,59.1,28.4,0.3,21.1,6.4,7.3,0.6,1.2
"연령",만30-39세,119.4,23.1,13.3,32.2,5.6,6.9,13.2,1.8,0.0,8.8,8.2,0.0,1.1,1.1,11.6,1.3,74.9,20.2,19.0,44.1,10.4,7.8,0.0,0.0,2.3,0.0,218.3,24.8,15.1,13.0,16.4,11.8,2.7,1.4,18.8,3.2,0.0,340.0,15.6,8.0,9.2,3.0,6.6,70.6,13.4,0.3,29.0,7.9,3.9,0.6,0.6
"연령",만40-49세,131.2,24.3,20.1,17.8,10.9,6.6,29.4,0.0,0.0,5.5,5.9,2.6,5.1,4.2,10.1,0.0,115.3,28.7,7.1,37.2,6.0,13.7,1.9,7.6,6.0,1.3,219.4,20.6,8.5,27.7,13.8,15.7,0.7,1.7,11.2,6.2,0.1,287.9,16.2,9.0,20.9,7.4,5.9,52.3,9.4,0.0,14.9,3.0,2.4,2.2,0.4
